USAF,WBAN,STATION NAME,CTRY,STATE,ICAO,LAT,LON,ELEV(M),BEGIN,END
724084,4739,MONMOUTH EXECUTIVE,US,NJ,KBLM,40.183,-74.117,48,19830421,19991231
724084,54760,MONMOUTH EXECUTIVE AIRPORT,US,NJ,KBLM,40.183,-74.133,48.5,20060101,20200212
724085,94732,NE PHILADELPHIA AIRPORT,US,PA,KPNE,40.079,-75.013,32,19730101,20200212
724086,14793,WILLOW GROVE NAS,US,PA,KNXX,40.2,-75.15,110,19730101,20110412
724088,13707,DOVER AFB AIRPORT,US,DE,KDOV,39.133,-75.467,8.5,19421201,20200212
724089,13781,WILMINGTON NEW CAST,US,DE,KILG,39.673,-75.601,24.4,19420801,20100731
724090,14780,NAES/MAXFIELD FIELD,US,NJ,KNEL,40.033,-74.35,30.8,19730101,20200212
724093,13764,SUSSEX COUNTY AIRPORT,US,DE,KGED,38.69,-75.363,14,20060101,20200212
724094,54743,ESSEX COUNTY AIRPORT,US,NJ,KCDW,40.876,-74.283,52.7,20060101,20200212
724095,14792,TRENTON MERCER AIRPORT,US,NJ,KTTN,40.277,-74.816,57.9,19730101,20200212
724096,14706,MCGUIRE AFB AIRPORT,US,NJ,KWRI,40.017,-74.6,39.9,19420801,20200212
724097,54738,MORRISTOWN MUNICIPAL AIRPORT,US,NJ,KMMU,40.8,-74.417,57,20060101,20200212
724100,13733,LYNCHBURG RGNL/PRESTON GLENN FLD AP,US,VA,KLYH,37.321,-79.207,286.5,19730101,20200212
724105,93760,SHENANDOAH VALLEY RGNL ART,US,VA,KSHD,38.264,-78.896,366.1,20060101,20200212
724106,13728,DANVILLE REGIONAL AIRPORT,US,VA,KDAN,36.573,-79.335,174,19730101,20200212
724107,53895,TWIN COUNTY AIRPORT,US,VA,KHLX,36.766,-80.823,820.8,20060101,20200211
724110,13741,ROANOKE REGIONAL/WOODRUM FIELD AP,US,VA,KROA,37.317,-79.974,358.1,19730101,20200212
724113,53881,VIRGINIA TECH AIRPORT,US,VA,KBCB,37.208,-80.408,649.8,20060101,20200212
