id,name,country,region,wmo,icao,latitude,longitude,elevation,timezone,hourly_start,hourly_end,daily_start,daily_end,monthly_start,monthly_end,distance
ZEZ8W,Pinhorn AGCM,CA,AB,,,49.03,-111.03,1061.0,America/Denver,2020-01-01,2022-12-14,2018-05-13,2022-12-11,2018-01-01,2022-01-01,41825.786877037805
71345,Masinasin Agdm,CA,AB,71345,CXMN,49.14,-111.65,948.0,America/Edmonton,2004-08-24,2024-05-09,2002-04-01,2024-04-28,2002-01-01,2022-01-01,50589.97066676152
71070,Pakowki Lake AGCM,CA,AB,71070,CPPL,49.22,-111.13,915.0,America/Edmonton,2008-04-01,2024-05-28,2007-09-01,2024-04-28,2007-01-01,2022-01-01,57630.66457878339
71244,Milk River,CA,AB,71244,CWRY,49.13,-112.05,1050.0,America/Edmonton,1993-09-08,2024-09-22,1993-09-09,2024-04-28,1994-01-01,2022-01-01,67288.19682368981
72769,Cut Bank / Little Browning,US,MT,72769,KCTB,48.6084,-112.3761,1176.0,America/Denver,2005-01-01,2024-09-22,1903-12-01,2024-12-30,1903-01-01,2022-01-01,75359.91652744453
71116,Onefour CDA,CA,AB,71116,CWOE,49.12,-110.47,935.0,America/Edmonton,1991-08-01,2024-09-22,1992-06-26,2024-04-28,1994-01-01,2022-01-01,78773.47163920771
71225,Foremost Agdm,CA,AB,71225,CXFM,49.48,-111.49,881.0,America/Edmonton,2004-08-24,2024-04-08,2002-12-10,2024-04-07,2003-01-01,2022-01-01,84412.95419855296
6VEFW,Warner AGCM,CA,AB,,,49.28,-112.16,1004.0,America/Edmonton,2020-01-01,2022-12-14,2018-05-14,2022-12-11,2018-01-01,2022-01-01,84649.59428109239
GDN32,Manyberries AGCM,CA,AB,71051,,49.36,-110.68,927.0,America/Edmonton,2020-01-01,2022-12-14,2007-09-01,2022-12-11,1956-01-01,2022-01-01,86465.27345161335
71409,Etzikom AGCM,CA,AB,71409,CPET,49.55,-111.05,845.0,America/Edmonton,2008-04-01,2024-07-16,2007-09-01,2024-04-28,2007-01-01,2021-01-01,94531.3643188836
71343,Wrentham Agdm,CA,AB,71343,CXWM,49.5,-112.12,944.0,America/Edmonton,2004-08-24,2024-07-16,2002-07-01,2024-04-28,2002-01-01,2022-01-01,102169.77093490766
71015,Milk River Ridge Reservoir,CA,AB,71015,CPRR,49.28,-112.54,1305.0,America/Edmonton,2009-08-01,2024-07-02,2007-03-01,2022-04-24,2007-01-01,2021-01-01,105582.2159633577
U1K6U,Juliett,US,MT,,K1JM,47.7515,-111.5467,1152.0,America/Denver,2022-05-06,2024-09-22,,,,,109107.50570533425
869NV,Lodge Creek,CA,AB,,,49.46,-110.34,1068.0,America/Edmonton,2020-01-01,2022-12-15,2018-05-14,2022-12-12,2018-01-01,2022-01-01,110669.55761915531
71231,Bow Island,CA,AB,71231,CWXL,49.73,-111.45,817.0,America/Edmonton,1994-02-01,2024-09-22,1993-06-07,2024-04-28,1993-01-01,2022-01-01,111891.2249202641
71224,Del Bonita Agdm,CA,AB,71224,CXDB,49.05,-112.82,1310.0,America/Edmonton,2004-08-24,2024-09-22,2002-11-01,2024-04-28,2003-01-01,2022-01-01,112321.87714950863
KCII0,Choteau / Truchot Hill,US,MT,,KCII,47.8283,-112.1683,1203.0,America/Denver,2020-04-02,2024-06-17,2020-04-02,2022-04-24,2020-01-01,2022-01-01,116097.77391524448
72777,Havre City-County Airport,US,MT,72777,KHVR,48.55,-109.7667,789.0,America/Denver,1973-01-01,2024-09-22,1961-02-01,2024-12-29,1961-01-01,2022-01-01,119066.5171804853
WLH1H,Hotel,US,MT,,K1HM,47.6975,-111.9429,1179.0,America/Denver,2022-05-06,2024-09-22,,,,,122032.67494217747
