zip,lat,lng,city,state_id,population,density,county_fips,timezone,zip0,weather_station_wmo_2024,hdd_base65F_2024,cdd_base65F_2024,distance_location_station_miles_2024,EPW_file_name_2024,Tdb_holes_2024,Tdew_holes_2024,RH_holes_2024,EnergyPlus Status,Missing Data,Extreme Temperature,Sudden Temp Jumps,Constant Temp Periods,Day-Night Swings,Summer Freezing,Winter Extreme Heat,Missing Temperature Data
51025,42.49745,-95.55756,Holstein,IA,2018,7.2,19093,America/Chicago,51025,KCKP0,6086.0,710.0,16.15073014,KCKP0_2024.epw,False,False,False,Good,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good
29051,33.86445,-80.12761,Gable,SC,2007,18.3,45085,America/New_York,29051,KSMS0,2193.0,2082.0,16.15064682,KSMS0_2024.epw,False,False,False,Good,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good
64652,40.02449,-93.42406,Laredo,MO,439,3.7,29079,America/Chicago,64652,KCDJ0,4271.0,1351.0,16.14962986,KCDJ0_2024.epw,False,False,False,Good,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good
67159,37.41512,-98.30722,Zenda,KS,108,0.5,20095,America/Chicago,67159,72452,3361.0,2308.0,16.1484684,72452_2024.epw,False,False,False,Good,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good
47837,39.63084,-87.11328,Carbon,IN,1180,15.7,18021,America/Indiana/Indianapolis,47837,72437,4163.0,1287.0,16.14755915,72437_2024.epw,False,False,False,Good,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good
78163,29.76677,-98.45476,Bulverde,TX,11106,55.6,48091,America/Chicago,78163,72253,1028.0,3770.0,16.14713808,72253_2024.epw,False,False,False,Good,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good
8827,40.66479,-74.97391,Hampton,NJ,4085,83.9,34019,America/New_York,8827,KSMQ0,4660.0,1017.0,16.14596009,KSMQ0_2024.epw,False,False,False,Good,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good
35751,34.81058,-86.27961,Hollytree,AL,237,3.2,1071,America/Chicago,35751,KMDQ0,2774.0,1814.0,16.14588603,KMDQ0_2024.epw,False,False,False,Good,Good,Good,Good,Good,Suspicious,Good,Good,Good
29620,34.17875,-82.42872,Abbeville,SC,13006,20.0,45001,America/New_York,29620,KGRD0,2654.0,1704.0,16.14547063,KGRD0_2024.epw,False,False,False,Good,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good
45118,39.17028,-83.93325,Fayetteville,OH,3579,35.2,39015,America/New_York,45118,72426,4216.0,1152.0,18.13073575,72426_2024.epw,False,False,False,Good,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good
49046,42.51237,-85.40322,Delton,MI,7900,38.6,26015,America/Detroit,49046,KBTL0,5123.0,840.0,16.14513017,KBTL0_2024.epw,False,False,False,Good,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good
50207,41.4347,-92.63752,New Sharon,IA,2093,5.7,19123,America/Chicago,50207,KPEA0,5235.0,933.0,16.14496648,KPEA0_2024.epw,False,False,False,Good,Good,Good,Good,Good,Suspicious,Good,Good,Good
62545,39.76184,-89.38942,Mechanicsburg,IL,1169,16.3,17167,America/Chicago,62545,KTAZ0,4465.0,1085.0,16.14408238,KTAZ0_2024.epw,False,False,False,Good,Good,Good,Good,Good,Suspicious,Good,Good,Good
54005,45.23565,-92.23198,Clear Lake,WI,2944,14.3,55095,America/Chicago,54005,KRNH0,6757.0,425.0,16.14386335,KRNH0_2024.epw,False,False,False,Good,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good
55922,43.5589,-91.90098,Canton,MN,1028,9.3,27045,America/Chicago,55922,KFKA0,6400.0,507.0,16.14367718,KFKA0_2024.epw,False,False,False,Good,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good
99571,55.38499,-162.44859,Cold Bay,AK,126,1.7,2013,America/Nome,99571,70316,9277.0,0.0,16.14330967,70316_2024.epw,False,False,False,Good,Good,Good,Good,Suspicious,Good,Good,Good,Good
56744,48.24552,-97.11368,Oslo,MN,504,1.9,38099,America/Chicago,56744,KGFK0,7791.0,562.0,20.79093211,KGFK0_2024.epw,False,False,False,Good,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good
