zip,lat,lng,city,state_id,population,density,county_fips,timezone,zip0,EPW_file_name_2024,distance_location_station_miles_2024,weather_station_wmo_2024,hdd_base65F_2024,cdd_base65F_2024,Tdb_holes_2024,Tdew_holes_2024,RH_holes_2024,EnergyPlus Status,Missing Data,Extreme Temperature,Sudden Temp Jumps,Constant Temp Periods,Day-Night Swings,Summer Freezing,Winter Extreme Heat,Missing Temperature Data
40743,37.07403,-84.11838,London,KY,281,89.0,21125,America/New_York,40743,KLOZ0_2024.epw,2.427620792643569,KLOZ0,3629.0,1184.0,False,False,False,Good,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good
11715,40.75003,-73.03516,Blue Point,NY,4832,1102.1,36103,America/New_York,11715,72503_2024.epw,2.4263636335722008,72503,4011.0,1362.0,False,False,False,Good,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good
8048,39.95732,-74.80401,Lumberton,NJ,12227,358.8,34005,America/New_York,8048,KVAY0_2024.epw,2.422565037484659,KVAY0,4242.0,1239.0,False,False,False,Good,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good
95131,37.3871,-121.89744,San Jose,CA,31170,2063.1,6085,America/Los_Angeles,95131,KSJC0_2024.epw,2.421584595679373,KSJC0,1693.0,916.0,False,False,False,Good,Good,Good,Good,Good,Suspicious,Good,Good,Good
10027,40.81184,-73.9534,New York,NY,64548,28679.7,36061,America/New_York,10027,KTEB0_2024.epw,6.205930239859803,KTEB0,4377.0,1246.0,False,False,False,Good,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good
23141,37.52994,-77.15541,Quinton,VA,6651,70.6,51127,America/New_York,23141,72401_2024.epw,8.885628771147388,72401,3065.0,1728.0,False,False,False,Good,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good
52240,41.63545,-91.50162,Iowa City,IA,34689,84.1,19103,America/Chicago,52240,KIOW0_2024.epw,2.41886589510082,KIOW0,5121.0,1049.0,False,False,False,Good,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good
43447,41.56604,-83.43547,Millbury,OH,3645,83.4,39173,America/New_York,43447,KTDZ0_2024.epw,2.417013351049241,KTDZ0,4549.0,1312.0,False,False,False,Good,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good
68847,40.75891,-99.02572,Kearney,NE,16828,69.2,31019,America/Chicago,68847,KEAR0_2024.epw,2.417011933275844,KEAR0,5402.0,957.0,False,False,False,Good,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good
90815,33.79581,-118.11626,Long Beach,CA,41026,2224.6,6037,America/Los_Angeles,90815,72297_2024.epw,2.415672083974862,72297,1084.0,882.0,False,False,False,Good,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good
28532,34.88813,-76.90891,Havelock,NC,22205,51.8,37049,America/New_York,28532,72309_2024.epw,2.415494290926109,72309,2189.0,1882.0,False,False,False,Good,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good
44113,41.48424,-81.69762,Cleveland,OH,20358,2052.6,39035,America/New_York,44113,KBKL0_2024.epw,2.414562428466273,KBKL0,4201.0,1346.0,False,False,False,Good,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good
19116,40.11679,-75.01276,Philadelphia,PA,34912,2693.3,42101,America/New_York,19116,KPNE0_2024.epw,2.4133668718874084,KPNE0,3899.0,1549.0,False,False,False,Good,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good
7057,40.85349,-74.10674,Wallington,NJ,11580,4547.0,34003,America/New_York,7057,KTEB0_2024.epw,2.412335195271157,KTEB0,4377.0,1246.0,False,False,False,Good,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good
25704,38.35348,-82.50879,Huntington,WV,16528,197.5,54099,America/New_York,25704,72425_2024.epw,2.412288512197176,72425,3463.0,1583.0,False,False,False,Good,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good
77713,30.06086,-94.25397,Beaumont,TX,13469,52.2,48245,America/Chicago,77713,KBMT0_2024.epw,2.4122329094352444,KBMT0,1149.0,3000.0,True,True,True,Good,Good,Good,Good,Good,Suspicious,Good,Good,Good
99782,70.64066,-159.93042,Wainwright,AK,508,10.9,2185,America/Anchorage,99782,PATQ0_2024.epw,58.61695206183328,PATQ0,17828.0,0.0,False,False,False,Good,Good,Good,Good,Suspicious,Suspicious,Suspicious,Good,Good
7008,40.58474,-74.22843,Carteret,NJ,23682,2066.8,34023,America/New_York,7008,72502_2024.epw,13.77800245114316,72502,3891.0,1546.0,False,False,False,Good,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good
90804,33.78185,-118.14863,Long Beach,CA,39344,7184.9,6037,America/Los_Angeles,90804,72297_2024.epw,2.4091860644229945,72297,1084.0,882.0,False,False,False,Good,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good
96101,41.45587,-120.53619,Alturas,CA,5500,3.6,6049,America/Los_Angeles,96101,KAAT0_2024.epw,2.4084656661195067,KAAT0,6186.0,550.0,False,False,False,Good,Good,Good,Suspicious,Good,Suspicious,Suspicious,Good,Good
19152,40.0607,-75.04673,Philadelphia,PA,37067,5071.2,42101,America/New_York,19152,KPNE0_2024.epw,2.4072511887411814,KPNE0,3899.0,1549.0,False,False,False,Good,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good
95648,38.9254,-121.31167,Lincoln,CA,52394,142.7,6061,America/Los_Angeles,95648,KLHM0_2024.epw,2.406581904645423,KLHM0,2708.0,1726.0,False,False,False,Good,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good
92110,32.76519,-117.1999,San Diego,CA,29911,2375.4,6073,America/Los_Angeles,92110,72290_2024.epw,2.4052924135786804,72290,1277.0,704.0,False,False,False,Good,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good
63801,36.89805,-89.6053,Sikeston,MO,22970,42.3,29201,America/Chicago,63801,KSIK0_2024.epw,2.4042645702652976,KSIK0,3219.0,1776.0,False,False,False,Good,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good
29550,34.39887,-80.07734,Hartsville,SC,31952,57.9,45031,America/New_York,29550,KHVS0_2024.epw,2.40423315294778,KHVS0,2354.0,1807.0,False,False,False,Good,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good
78009,29.35732,-98.88667,Castroville,TX,8620,46.5,48325,America/Chicago,78009,KHDO0_2024.epw,17.466255937500204,KHDO0,1102.0,3632.0,False,False,False,Good,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good
33487,26.41008,-80.09148,Boca Raton,FL,20176,1210.6,12099,America/New_York,33487,KPMP0_2024.epw,11.326182231361374,KPMP0,55.0,4843.0,False,False,False,Good,Good,Good,Good,Suspicious,Good,Good,Good,Good
28306,34.95875,-78.89551,Fayetteville,NC,41944,235.8,37051,America/New_York,28306,KFAY0_2024.epw,2.401756794101754,KFAY0,2211.0,2060.0,False,False,False,Good,Good,Good,Good,Good,Suspicious,Good,Good,Good
91325,34.23602,-118.51759,Northridge,CA,34635,2771.5,6037,America/Los_Angeles,91325,KVNY0_2024.epw,2.4013467356108897,KVNY0,1468.0,1606.0,False,False,False,Good,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good
97814,44.82656,-117.76251,Baker City,OR,12433,6.3,41001,America/Los_Angeles,97814,KBKE0_2024.epw,2.4004616721194765,KBKE0,5944.0,545.0,False,False,False,Good,Good,Good,Suspicious,Good,Suspicious,Good,Good,Good
10199,40.75138,-73.99715,New York,NY,148,2262.5,36061,America/New_York,10199,KJRB0_2024.epw,3.5221858680540867,KJRB0,3882.0,1341.0,False,False,False,Good,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good
88043,32.62091,-108.11154,Hurley,NM,1573,9.5,35017,America/Denver,88043,72272_2024.epw,2.3961367369161644,72272,3535.0,1533.0,True,True,True,Good,Good,Good,Good,Good,Suspicious,Good,Good,Good
70501,30.23973,-91.99045,Lafayette,LA,31097,768.9,22055,America/Chicago,70501,KLFT0_2024.epw,2.3918514746025963,KLFT0,1026.0,3432.0,False,False,False,Good,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good
23669,37.04973,-76.33944,Hampton,VA,41669,1290.7,51650,America/New_York,23669,74598_2024.epw,2.391412803386852,74598,2771.0,1859.0,False,False,False,Good,Good,Good,Good,Good,Suspicious,Good,Good,Good
8618,40.24823,-74.78773,Trenton,NJ,39731,2527.1,34021,America/New_York,8618,KTTN0_2024.epw,2.390716430986686,KTTN0,4500.0,1125.0,False,False,False,Good,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good
68410,40.6375,-95.88476,Nebraska City,NE,8772,22.3,31131,America/Chicago,68410,KAFK0_2024.epw,2.3895965530347083,KAFK0,4953.0,1139.0,False,False,False,Good,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good
73069,35.24963,-97.46292,Norman,OK,24416,594.2,40027,America/Chicago,73069,72353_2024.epw,12.336167261050608,72353,2933.0,2213.0,False,False,False,Good,Good,Good,Good,Good,Suspicious,Good,Good,Good
28533,34.90284,-76.90147,Cherry Point,NC,3248,2822.0,37049,America/New_York,28533,72309_2024.epw,2.3886204082673594,72309,2189.0,1882.0,False,False,False,Good,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good
2644,41.68422,-70.51024,Forestdale,MA,4340,468.2,25001,America/New_York,2644,KHYA0_2024.epw,11.905909804189273,KHYA0,5465.0,518.0,False,False,False,Good,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good
75248,32.96955,-96.79528,Dallas,TX,36829,1928.0,48113,America/Chicago,75248,72258_2024.epw,9.07350130832974,72258,1652.0,3397.0,False,False,False,Good,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good
7603,40.87508,-74.02932,Bogota,NJ,8362,4270.3,34003,America/New_York,7603,KTEB0_2024.epw,2.384277520467758,KTEB0,4377.0,1246.0,False,False,False,Good,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good
62702,39.82399,-89.64168,Springfield,IL,34051,852.5,17167,America/Chicago,62702,72439_2024.epw,2.384067003527561,72439,4457.0,1198.0,False,False,False,Good,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good
28027,35.40847,-80.67521,Concord,NC,63423,356.8,37025,America/New_York,28027,72314_2024.epw,20.21572149059465,72314,2458.0,1967.0,False,False,False,Good,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good
20110,38.74711,-77.48591,Manassas,VA,48509,1482.7,51683,America/New_York,20110,72403_2024.epw,13.0088300591983,72403,3694.0,1562.0,False,False,False,Good,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good
47710,38.02559,-87.57598,Evansville,IN,19081,837.7,18163,America/Chicago,47710,72432_2024.epw,2.3831352522314777,72432,3480.0,1749.0,False,False,False,Good,Good,Good,Suspicious,Suspicious,Suspicious,Good,Good,Good
39401,31.23265,-89.26717,Hattiesburg,MS,42522,85.6,28035,America/Chicago,39401,74759_2024.epw,2.382363137313685,74759,1518.0,2915.0,False,False,False,Good,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good
35022,33.32251,-86.96578,Bessemer,AL,20271,119.4,1073,America/Chicago,35022,KEKY0_2024.epw,2.3800775163881736,KEKY0,2150.0,2097.0,False,False,False,Good,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good
10016,40.74515,-73.9783,New York,NY,51057,37047.0,36061,America/New_York,10016,KJRB0_2024.epw,3.4359163967046946,KJRB0,3882.0,1341.0,False,False,False,Good,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good
14026,42.94239,-78.68798,Bowmansville,NY,588,299.7,36029,America/New_York,14026,72528_2024.epw,2.376888201624336,72528,5301.0,835.0,False,False,False,Good,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good
84088,40.59515,-111.96092,West Jordan,UT,37435,1535.5,49035,America/Denver,84088,72572_2024.epw,13.003431302787728,72572,4706.0,1802.0,False,False,False,Good,Good,Good,Good,Good,Suspicious,Good,Good,Good
51201,43.18336,-95.86572,Sheldon,IA,5972,20.2,19141,America/Chicago,51201,KSHL0_2024.epw,2.3756068678775697,KSHL0,6400.0,617.0,False,False,False,Good,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good
41075,39.07985,-84.45099,Fort Thomas,KY,16525,1059.1,21037,America/New_York,41075,KLUK0_2024.epw,2.375321995701172,KLUK0,3918.0,1345.0,False,False,False,Good,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good
54806,46.5508,-90.86913,Ashland,WI,11513,16.8,55003,America/Chicago,54806,KASX0_2024.epw,2.375007403648913,KASX0,7232.0,312.0,False,False,False,Good,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good
44135,41.4257,-81.81966,Cleveland,OH,27640,1058.0,39035,America/New_York,44135,72524_2024.epw,2.371650677986454,72524,4643.0,1107.0,False,False,False,Good,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good
18344,41.11849,-75.34097,Mount Pocono,PA,3810,209.6,42089,America/New_York,18344,KMPO0_2024.epw,2.371070345493571,KMPO0,6421.0,375.0,False,False,False,Good,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good
20260,38.88368,-77.02504,Washington,DC,0,0.0,11001,America/New_York,20260,72405_2024.epw,2.369108377989937,72405,3205.0,1891.0,False,False,False,Good,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good
18901,40.30543,-75.14884,Doylestown,PA,27469,525.2,42017,America/New_York,18901,KDYL0_2024.epw,2.3685019791984865,KDYL0,4299.0,1225.0,False,False,False,Good,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good
89706,39.21975,-119.70611,Carson City,NV,19760,240.6,32510,America/Los_Angeles,89706,KCXP0_2024.epw,2.3682382878644885,KCXP0,5057.0,986.0,False,False,False,Good,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good
63401,39.69234,-91.45656,Hannibal,MO,22201,82.1,29127,America/Chicago,63401,KPPQ0_2024.epw,36.257588323637854,KPPQ0,4282.0,1218.0,False,False,False,Good,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good
49441,43.18555,-86.27255,Muskegon,MI,35802,636.0,26121,America/Detroit,49441,72636_2024.epw,2.368006747207579,72636,5002.0,746.0,False,False,False,Good,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good
48138,42.13309,-83.15577,Grosse Ile,MI,10179,442.4,26163,America/Detroit,48138,72537_2024.epw,10.561369052707365,72537,5028.0,925.0,False,False,False,Good,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good
92707,33.70986,-117.87089,Santa Ana,CA,61026,4709.9,6059,America/Los_Angeles,92707,KSNA0_2024.epw,2.365287787698036,KSNA0,1180.0,790.0,False,False,False,Good,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good
10035,40.79551,-73.92967,New York,NY,35743,9688.7,36061,America/New_York,10035,KJRB0_2024.epw,7.726805428378785,KJRB0,3882.0,1341.0,False,False,False,Good,Good,Good,Good,Suspicious,Suspicious,Good,Good,Good
