time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco,temp_F,date
2020-01-01 01:00:00,2.8,-2.7,67.0,0.0,,0.0,0.0,,1008.4,,,37.04,2020-01-01
2020-01-01 02:00:00,5.6,-2.7,55.0,0.0,,130.0,5.4,,1008.5,,,42.08,2020-01-01
2020-01-01 03:00:00,5.6,-2.7,55.0,0.0,,260.0,11.2,,1009.1,,,42.08,2020-01-01
2020-01-01 04:00:00,6.1,-2.3,55.0,0.0,,0.0,0.0,,1009.1,,,42.980000000000004,2020-01-01
2020-01-01 05:00:00,6.1,-2.3,55.0,0.0,,250.0,5.4,,1009.1,,,42.980000000000004,2020-01-01
2020-01-01 06:00:00,5.6,-1.8,59.0,0.0,,260.0,7.6,,1009.4,,,42.08,2020-01-01
2020-01-01 07:00:00,6.1,-1.8,57.0,0.0,,270.0,9.4,,1010.0,,,42.980000000000004,2020-01-01
2020-01-01 08:00:00,6.1,-1.8,57.0,0.0,,270.0,13.0,,1010.5,,,42.980000000000004,2020-01-01
2020-01-01 09:00:00,7.8,-1.7,51.0,0.0,,240.0,7.6,,1011.3,,,46.04,2020-01-01
2020-01-01 10:00:00,8.9,-1.8,47.0,0.0,,240.0,13.0,,1012.4,,,48.02,2020-01-01
2020-01-01 11:00:00,10.0,-1.7,44.0,0.0,,240.0,14.8,,1012.7,,,50.0,2020-01-01
2020-01-01 12:00:00,9.4,-2.9,42.0,0.0,,250.0,18.4,,1012.3,,,48.92,2020-01-01
2020-01-01 13:00:00,10.6,-2.8,39.0,0.0,,280.0,18.4,,1011.8,,,51.08,2020-01-01
2020-01-01 14:00:00,10.6,-2.8,39.0,0.0,,250.0,14.8,,1011.4,,,51.08,2020-01-01
2020-01-01 15:00:00,10.6,-2.8,39.0,0.0,,260.0,14.8,,1011.7,,,51.08,2020-01-01
2020-01-01 16:00:00,10.0,-2.3,42.0,0.0,,240.0,11.2,,1012.3,,,50.0,2020-01-01
2020-01-01 17:00:00,8.3,-2.1,48.0,0.0,,240.0,9.4,,1013.0,,,46.94,2020-01-01
2020-01-01 18:00:00,6.1,-2.3,55.0,0.0,,190.0,7.6,,1013.9,,,42.980000000000004,2020-01-01
2020-01-01 19:00:00,6.7,-2.2,53.0,0.0,,220.0,7.6,,1014.4,,,44.06,2020-01-01
2020-01-01 20:00:00,3.3,-2.2,67.0,0.0,,180.0,5.4,,1014.9,,,37.94,2020-01-01
2020-01-01 21:00:00,6.1,-2.3,55.0,0.0,,240.0,7.6,,1014.9,,,42.980000000000004,2020-01-01
2020-01-01 22:00:00,4.4,-2.2,62.0,0.0,,0.0,0.0,,1015.0,,,39.92,2020-01-01
2020-01-01 23:00:00,3.9,-2.3,64.0,0.0,,230.0,5.4,,1015.3,,,39.02,2020-01-01
2020-01-02 00:00:00,5.6,-1.8,59.0,0.0,,240.0,7.6,,1014.7,,,42.08,2020-01-02
2020-01-02 01:00:00,3.3,-1.7,70.0,0.0,,210.0,5.4,,1014.6,,,37.94,2020-01-02
2020-01-02 02:00:00,3.3,-1.7,70.0,0.0,,230.0,5.4,,1014.4,,,37.94,2020-01-02
2020-01-02 03:00:00,2.2,-1.8,75.0,0.0,,0.0,0.0,,1014.8,,,35.96,2020-01-02
2020-01-02 04:00:00,2.2,-2.1,73.0,0.0,,220.0,7.6,,1015.0,,,35.96,2020-01-02
2020-01-02 05:00:00,1.1,-2.8,75.0,0.0,,200.0,7.6,,1015.1,,,33.98,2020-01-02
2020-01-02 06:00:00,1.7,-2.8,72.0,0.0,,210.0,7.6,,1015.1,,,35.06,2020-01-02
2020-01-02 07:00:00,0.6,-2.8,78.0,0.0,,0.0,0.0,,1015.4,,,33.08,2020-01-02
2020-01-02 08:00:00,1.7,-2.3,75.0,0.0,,0.0,0.0,,1015.9,,,35.06,2020-01-02
2020-01-02 09:00:00,2.8,-1.0,76.0,0.0,,190.0,7.6,,1016.4,,,37.04,2020-01-02
2020-01-02 10:00:00,7.2,-0.5,58.0,0.0,,180.0,9.4,,1016.5,,,44.96,2020-01-02
