0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
2020,1,1,1,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9?9?9,7.8,0.0,58.0,100850.0,0.0,0.0,245.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.6,0.22,99,9999,99999,9,999999999,0.73,0.05,0.0,99,999.0,0.0,9
2020,1,1,2,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9?9?9,7.8,-0.7,55.0,100890.0,0.0,0.0,245.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,99,9999,99999,9,999999999,0.75,0.05,0.0,99,999.0,0.0,9
2020,1,1,3,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9?9?9,6.7,-1.0,58.0,100950.0,0.0,0.0,241.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,5.4,0.24,99,9999,99999,9,999999999,0.74,0.05,0.0,99,999.0,0.0,9
2020,1,1,4,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9?9?9,5.6,-1.1,62.0,100970.0,0.0,0.0,240.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,99,9999,99999,9,999999999,0.74,0.05,0.0,99,999.0,0.0,9
2020,1,1,5,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9?9?9,3.3,-1.1,73.0,100990.0,0.0,0.0,238.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,99,9999,99999,9,999999999,0.74,0.04,0.0,99,999.0,0.0,9
2020,1,1,6,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9?9?9,2.2,-1.1,79.0,101070.0,0.0,0.0,237.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,99,9999,99999,9,999999999,0.75,0.04,0.0,99,999.0,0.0,9
2020,1,1,7,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9?9?9,2.2,-1.1,79.0,101090.0,0.0,0.0,236.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,99,9999,99999,9,999999999,0.75,0.05,0.0,99,999.0,0.0,9
2020,1,1,8,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9?9?9,3.3,-0.5,76.0,101140.0,49.22,1410.33,236.82,18.92,160.85,10.86,1973.96,5605.01,1780.22,199.81,0.0,0.0,0.12,99,9999,99999,9,999999999,0.76,0.04,0.0,99,0.13,0.0,9
2020,1,1,9,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9?9?9,6.7,-0.1,62.0,101240.0,270.65,1407.06,241.65,166.88,672.99,35.48,17384.36,53342.26,5749.67,714.96,0.0,0.0,0.13,99,9999,99999,9,999999999,0.77,0.03,0.0,99,0.14,0.0,9
2020,1,1,10,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9?9?9,9.4,0.0,52.0,101310.0,469.95,1407.16,248.77,329.35,855.99,47.62,35198.96,79655.2,7416.32,1103.18,150.0,5.4,0.14,99,9999,99999,9,999999999,0.79,0.03,0.0,99,0.14,0.0,9
2020,1,1,11,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9?9?9,11.7,-1.1,41.0,101270.0,615.0,1407.46,255.1,452.88,911.96,55.67,48355.83,88637.65,8458.72,1343.42,300.0,11.2,0.14,99,9999,99999,9,999999999,0.8,0.03,0.0,99,0.13,0.0,9
2020,1,1,12,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9?9?9,12.2,-1.7,38.0,101170.0,695.88,1407.1,259.58,521.25,941.13,63.78,55508.95,92797.41,9517.85,1516.63,305.0,9.4,0.46,99,9999,99999,9,999999999,0.81,0.03,0.0,99,0.13,0.0,9
2020,1,1,13,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9?9?9,13.3,-1.9,35.0,101110.0,707.08,1407.36,263.25,525.35,908.33,74.66,55712.2,89630.11,11030.97,1605.06,310.0,14.8,0.84,99,9999,99999,9,999999999,0.83,0.03,0.0,99,0.13,0.0,9
2020,1,1,14,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9?9?9,13.9,-2.1,33.0,101060.0,647.85,1407.29,263.38,477.12,935.62,61.15,50874.72,91567.77,9206.94,1431.17,300.0,16.6,0.6,99,9999,99999,9,999999999,0.85,0.03,0.0,99,0.13,0.0,9
2020,1,1,15,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9?9?9,13.9,-2.1,33.0,101100.0,522.22,1407.43,262.35,368.65,849.1,67.78,38693.3,79938.04,10331.53,1364.36,300.0,11.2,1.14,99,9999,99999,9,999999999,0.81,0.03,0.0,99,0.14,0.0,9
2020,1,1,16,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9?9?9,13.3,-2.6,33.0,101200.0,338.77,1407.23,261.27,214.45,653.37,60.7,22322.34,52955.64,9154.95,1112.85,300.0,13.0,1.81,99,9999,99999,9,999999999,0.77,0.03,0.0,99,0.12,0.0,9
2020,1,1,17,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9?9?9,11.7,-2.2,38.0,101270.0,110.47,1407.99,256.45,50.83,279.65,26.86,5173.19,13451.57,4073.97,462.42,290.0,7.6,2.18,99,9999,99999,9,999999999,0.74,0.03,0.0,99,0.13,0.0,9
2020,1,1,18,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9?9?9,7.8,-0.7,55.0,101350.0,0.0,0.0,253.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.64,99,9999,99999,9,999999999,0.71,0.02,0.0,99,999.0,0.0,9
2020,1,1,19,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9?9?9,5.0,-1.0,65.0,101470.0,0.0,0.0,255.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9,99,9999,99999,9,999999999,0.68,0.02,0.0,99,999.0,0.0,9
2020,1,1,20,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9?9?9,5.6,-0.7,64.0,101510.0,0.0,0.0,263.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.76,99,9999,99999,9,999999999,0.65,0.02,0.0,99,999.0,0.0,9
2020,1,1,21,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9?9?9,5.0,0.0,70.0,101560.0,0.0,0.0,258.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.92,99,9999,99999,9,999999999,0.65,0.02,0.0,99,999.0,0.0,9
2020,1,1,22,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9?9?9,3.9,-0.5,73.0,101590.0,0.0,0.0,250.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7,99,9999,99999,9,999999999,0.66,0.02,0.0,99,999.0,0.0,9
2020,1,1,23,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9?9?9,2.8,-1.0,76.0,101610.0,0.0,0.0,262.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.45,99,9999,99999,9,999999999,0.67,0.02,0.0,99,999.0,0.0,9
2020,1,1,24,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9?9?9,3.3,-0.5,76.0,101620.0,0.0,0.0,255.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.61,99,9999,99999,9,999999999,0.68,0.02,0.0,99,999.0,0.0,9
2020,1,2,1,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9?9?9,3.9,-0.5,73.0,101610.0,0.0,0.0,258.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,5.4,8.79,99,9999,99999,9,999999999,0.69,0.02,0.0,99,999.0,0.0,9
2020,1,2,2,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9?9?9,2.2,-1.1,79.0,101610.0,0.0,0.0,269.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.3,99,9999,99999,9,999999999,0.71,0.02,0.0,99,999.0,0.0,9
2020,1,2,3,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9?9?9,1.7,-1.0,82.0,101640.0,0.0,0.0,264.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.71,99,9999,99999,9,999999999,0.77,0.02,0.0,99,999.0,0.0,9
2020,1,2,4,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9?9?9,2.2,-0.6,82.0,101690.0,0.0,0.0,262.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.78,99,9999,99999,9,999999999,0.84,0.02,0.0,99,999.0,0.0,9
2020,1,2,5,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9?9?9,1.7,-0.6,85.0,101740.0,0.0,0.0,265.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.88,99,9999,99999,9,999999999,0.91,0.02,0.0,99,999.0,0.0,9
2020,1,2,6,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9?9?9,3.9,0.1,76.0,101800.0,0.0,0.0,259.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.03,99,9999,99999,9,999999999,0.97,0.02,0.0,99,999.0,0.0,9
2020,1,2,7,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9?9?9,2.8,-0.7,78.0,101830.0,0.0,0.0,269.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,5.4,9.46,99,9999,99999,9,999999999,1.04,0.02,0.0,99,999.0,0.0,9
2020,1,2,8,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9?9?9,2.8,0.0,82.0,101870.0,48.85,1406.77,265.85,14.8,69.01,15.77,1581.87,954.4,2054.46,277.94,0.0,0.0,7.52,99,9999,99999,9,999999999,1.11,0.02,0.0,99,0.12,0.0,9
2020,1,2,9,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9?9?9,7.8,2.3,68.0,101930.0,270.45,1407.28,258.0,148.2,413.37,76.59,15325.39,28264.64,10271.58,1421.93,52.5,5.4,5.15,99,9999,99999,9,999999999,1.19,0.02,0.0,99,0.12,0.0,9
2020,1,2,10,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9?9?9,10.6,1.7,54.0,101930.0,470.3,1407.51,264.92,308.0,625.12,100.17,32028.94,55154.82,14441.09,1830.49,105.0,11.2,3.41,99,9999,99999,9,999999999,1.29,0.02,0.0,99,0.13,0.0,9
2020,1,2,11,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9?9?9,13.3,1.6,45.0,101920.0,615.9,1407.49,274.5,433.65,838.3,86.11,45642.02,81220.64,12820.78,1705.92,157.5,9.4,1.73,99,9999,99999,9,999999999,1.38,0.03,0.0,99,0.12,0.0,9
2020,1,2,12,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9?9?9,15.0,1.1,39.0,101790.0,697.38,1407.54,276.7,512.5,938.89,53.14,55464.16,93633.47,8017.69,1397.77,210.0,14.8,0.04,99,9999,99999,9,999999999,1.43,0.03,0.0,99,0.12,0.0,9
2020,1,2,13,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9?9?9,16.1,1.0,36.0,101680.0,709.15,1407.25,285.48,494.85,740.94,142.49,52315.56,71094.96,20001.3,2954.31,190.0,22.3,3.95,99,9999,99999,9,999999999,1.51,0.04,0.0,99,0.12,0.0,9
2020,1,2,14,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9?9?9,15.6,1.0,37.0,101610.0,650.45,1407.25,288.88,431.0,649.98,159.07,46130.73,60094.61,21186.86,3247.86,190.0,22.3,5.16,99,9999,99999,9,999999999,1.59,0.05,0.0,99,0.12,0.0,9
