,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
2020-01-01 01:00:00,2020,1,1,1,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9?9?9,-1.51,-2.7,92.67,93259.0,0.0,0.0,265.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,268.4,4.65,8.22,99,9999,99999,9,999999999,0.52,0.14,13.25,99,999.0,0.03,9
2020-01-01 02:00:00,2020,1,1,2,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9?9?9,-1.68,-2.82,93.16,93273.0,0.0,0.0,263.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,270.1,4.6,7.0,99,9999,99999,9,999999999,0.5,0.08,13.11,99,999.0,0.02,9
2020-01-01 03:00:00,2020,1,1,3,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9?9?9,-1.87,-3.16,92.12,93318.0,0.0,0.0,259.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,271.2,4.61,6.16,99,9999,99999,9,999999999,0.49,0.05,13.02,99,999.0,0.02,9
2020-01-01 04:00:00,2020,1,1,4,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9?9?9,-2.12,-3.67,90.29,93333.0,0.0,0.0,264.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,271.9,4.61,7.16,99,9999,99999,9,999999999,0.48,0.04,13.06,99,999.0,0.02,9
2020-01-01 05:00:00,2020,1,1,5,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9?9?9,-2.46,-4.07,90.2,93331.0,0.0,0.0,258.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,272.1,4.42,6.87,99,9999,99999,9,999999999,0.47,0.04,13.06,99,999.0,0.02,9
2020-01-01 06:00:00,2020,1,1,6,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9?9?9,-2.63,-4.52,88.16,93345.0,0.0,0.0,262.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,271.5,4.33,7.21,99,9999,99999,9,999999999,0.47,0.03,12.75,99,999.0,0.03,9
2020-01-01 07:00:00,2020,1,1,7,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9?9?9,-2.67,-5.02,84.82,93383.0,0.0,0.0,245.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,270.4,4.27,4.99,99,9999,99999,9,999999999,0.46,0.03,12.48,99,999.0,0.02,9
2020-01-01 08:00:00,2020,1,1,8,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9?9?9,-2.71,-5.28,83.61,93421.0,0.0,0.0,237.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,269.9,4.14,3.59,99,9999,99999,9,999999999,0.45,0.03,0.0,99,999.0,0.0,9
2020-01-01 09:00:00,2020,1,1,9,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9?9?9,-2.3,-5.28,80.55,93490.0,208.85,1408.03,236.32,102.3,448.04,33.34,10660.09,30208.46,5240.34,614.93,268.9,4.26,3.66,99,9999,99999,9,999999999,0.45,0.03,0.0,99,0.16,0.0,9
2020-01-01 10:00:00,2020,1,1,10,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9?9?9,-1.4,-5.41,73.95,93564.0,398.7,1407.11,238.62,229.45,649.96,56.16,23665.44,57224.96,8724.65,1080.61,269.2,4.54,3.6,99,9999,99999,9,999999999,0.45,0.03,0.0,99,0.16,0.0,9
