,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
2020-01-01 01:00:00,2020,1,1,1,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9?9?9,5.54,4.23,91.33,100843.0,0.0,0.0,245.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,279.9,4.78,0.22,99,9999,99999,9,999999999,0.73,0.05,0.0,99,999.0,0.0,9
2020-01-01 02:00:00,2020,1,1,2,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9?9?9,4.86,3.72,92.43,100865.0,0.0,0.0,245.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,294.7,4.43,0.33,99,9999,99999,9,999999999,0.75,0.05,0.0,99,999.0,0.0,9
2020-01-01 03:00:00,2020,1,1,3,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9?9?9,4.33,3.14,92.08,100902.0,0.0,0.0,241.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,301.4,4.34,0.24,99,9999,99999,9,999999999,0.74,0.05,0.0,99,999.0,0.0,9
2020-01-01 04:00:00,2020,1,1,4,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9?9?9,3.68,2.69,93.37,100925.0,0.0,0.0,240.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,299.4,4.03,0.2,99,9999,99999,9,999999999,0.74,0.05,0.0,99,999.0,0.0,9
2020-01-01 05:00:00,2020,1,1,5,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9?9?9,3.06,2.42,95.66,100939.0,0.0,0.0,238.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,295.1,3.8,0.15,99,9999,99999,9,999999999,0.74,0.04,0.0,99,999.0,0.0,9
2020-01-01 06:00:00,2020,1,1,6,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9?9?9,2.58,2.26,97.92,100985.0,0.0,0.0,237.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289.5,3.69,0.11,99,9999,99999,9,999999999,0.75,0.04,0.0,99,999.0,0.0,9
2020-01-01 07:00:00,2020,1,1,7,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9?9?9,2.24,2.19,99.71,101047.0,0.0,0.0,236.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,284.4,3.7,0.12,99,9999,99999,9,999999999,0.75,0.05,0.0,99,999.0,0.0,9
2020-01-01 08:00:00,2020,1,1,8,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9?9?9,2.42,2.23,98.71,101101.0,49.22,1410.33,236.82,18.92,160.85,10.86,1973.96,5605.01,1780.22,199.81,280.0,3.73,0.12,99,9999,99999,9,999999999,0.76,0.04,0.0,99,0.13,0.0,9
2020-01-01 09:00:00,2020,1,1,9,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9?9?9,4.61,2.57,86.72,101170.0,270.65,1407.06,241.65,166.88,672.99,35.48,17384.36,53342.26,5749.67,714.96,273.3,4.51,0.13,99,9999,99999,9,999999999,0.77,0.03,0.0,99,0.14,0.0,9
2020-01-01 10:00:00,2020,1,1,10,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9?9?9,7.08,2.48,72.49,101236.0,469.95,1407.16,248.77,329.35,855.99,47.62,35198.96,79655.2,7416.32,1103.18,275.5,4.58,0.14,99,9999,99999,9,999999999,0.79,0.03,0.0,99,0.14,0.0,9
2020-01-01 11:00:00,2020,1,1,11,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9?9?9,9.71,1.33,55.79,101231.0,615.0,1407.46,255.1,452.88,911.96,55.67,48355.83,88637.65,8458.72,1343.42,289.4,5.8,0.14,99,9999,99999,9,999999999,0.8,0.03,0.0,99,0.13,0.0,9
2020-01-01 12:00:00,2020,1,1,12,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9?9?9,10.74,1.35,52.17,101163.0,695.88,1407.1,259.58,521.25,941.13,63.78,55508.95,92797.41,9517.85,1516.63,285.7,6.02,0.46,99,9999,99999,9,999999999,0.81,0.03,0.0,99,0.13,0.0,9
2020-01-01 13:00:00,2020,1,1,13,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9?9?9,11.37,1.38,50.11,101089.0,707.08,1407.36,263.25,525.35,908.33,74.66,55712.2,89630.11,11030.97,1605.06,282.1,6.19,0.84,99,9999,99999,9,999999999,0.83,0.03,0.0,99,0.13,0.0,9
2020-01-01 14:00:00,2020,1,1,14,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9?9?9,11.72,1.4,49.06,101028.0,647.85,1407.29,263.38,477.12,935.62,61.15,50874.72,91567.77,9206.94,1431.17,282.0,6.12,0.6,99,9999,99999,9,999999999,0.85,0.03,0.0,99,0.13,0.0,9
2020-01-01 15:00:00,2020,1,1,15,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9?9?9,11.73,1.54,49.61,101023.0,522.22,1407.43,262.35,368.65,849.1,67.78,38693.3,79938.04,10331.53,1364.36,282.9,5.9,1.14,99,9999,99999,9,999999999,0.81,0.03,0.0,99,0.14,0.0,9
2020-01-01 16:00:00,2020,1,1,16,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9?9?9,11.19,1.94,52.9,101077.0,338.77,1407.23,261.27,214.45,653.37,60.7,22322.34,52955.64,9154.95,1112.85,284.8,5.2,1.81,99,9999,99999,9,999999999,0.77,0.03,0.0,99,0.12,0.0,9
2020-01-01 17:00:00,2020,1,1,17,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9?9?9,8.7,3.21,68.31,101161.0,110.47,1407.99,256.45,50.83,279.65,26.86,5173.19,13451.57,4073.97,462.42,288.0,3.68,2.18,99,9999,99999,9,999999999,0.74,0.03,0.0,99,0.13,0.0,9
2020-01-01 18:00:00,2020,1,1,18,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9?9?9,6.75,2.81,75.98,101261.0,0.0,0.0,253.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,290.8,3.75,2.64,99,9999,99999,9,999999999,0.71,0.02,0.0,99,999.0,0.0,9
